canonical,name,region,type,population
"Redding, California, United States",Redding,California,City,91582
"Macon, Georgia, United States",Macon,Georgia,City,91351
"Meridian, Idaho, United States",Meridian,Idaho,City,90739
"San Leandro, California, United States",San Leandro,California,City,90712
"Greenville, North Carolina, United States",Greenville,North Carolina,City,90597
"Edmond, Oklahoma, United States",Edmond,Oklahoma,City,90092
"Chinatown, New York, United States",Chinatown,New York,City,90000
"Nampa, Idaho, United States",Nampa,Idaho,City,89839
"Trenton, New Jersey, United States",Trenton,New Jersey,City,89620
"Sandy Hills, Utah, United States",Sandy Hills,Utah,City,89575
"Newton, Massachusetts, United States",Newton,Massachusetts,City,88817
"Toms River, New Jersey, United States",Toms River,New Jersey,City,88791
"Carmel, Indiana, United States",Carmel,Indiana,City,88713
"Norwalk, Connecticut, United States",Norwalk,Connecticut,City,88485
"Waukegan, Illinois, United States",Waukegan,Illinois,City,88475
"Deltona, Florida, United States",Deltona,Florida,City,88474
"Hawthorne, California, United States",Hawthorne,California,City,88451
"Fort Smith, Arkansas, United States",Fort Smith,Arkansas,City,88194
"Suffolk, Virginia, United States",Suffolk,Virginia,City,88161
"Sugar Land, Texas, United States",Sugar Land,Texas,City,88156
"Livermore, California, United States",Livermore,California,City,88126
"Nashua, New Hampshire, United States",Nashua,New Hampshire,City,87970
"Reading, Pennsylvania, United States",Reading,Pennsylvania,City,87879
"Concord, North Carolina, United States",Concord,North Carolina,City,87696
"Indio, California, United States",Indio,California,City,87533
"Rio Rancho, New Mexico, United States",Rio Rancho,New Mexico,City,87521
"Enchanted Hills, New Mexico, United States",Enchanted Hills,New Mexico,City,87521
"Santa Fe, New Mexico, United States",Santa Fe,New Mexico,City,87505
"Sandy, Utah, United States",Sandy,Utah,City,87461
"Whittier, California, United States",Whittier,California,City,87438
"Canarsie, New York, United States",Canarsie,New York,City,87366
